OBJECTID,ORIG_FID,Id,X_axis,RASTERVALU,Latitude,Longitude,Distance,Elevation
1,0,0,1,7.3370023,3273654.790967747569084,475932.318564276210964,3,7.337002277374268
2,0,0,2,7.3459454,3273656.175756577402353,475934.979834631085396,3,7.345945358276367
3,0,0,3,7.4607568,3273657.560545405372977,475937.641104986891150,3,7.460756778717041
4,0,0,4,7.5816975,3273658.945334235206246,475940.302375341765583,3,7.581697463989258
5,0,0,5,7.6826105,3273660.330123059451580,475942.963645695708692,3,7.682610511779785
6,0,0,6,7.2002201,3273661.714911887422204,475945.624916050583124,3,7.200220108032227
7,0,0,7,7.2002201,3273663.099700715392828,475948.286186406388879,3,7.200220108032227
8,0,0,8,6.6825724,3273664.484489545226097,475950.947456761263311,3,6.682572364807129
9,0,0,9,7.5019226,3273665.869278373196721,475953.608727114275098,3,7.501922607421875
10,0,0,10,7.7818570,3273667.254067197442055,475956.269997470080853,3,7.781857013702393
11,0,0,11,7.9336476,3273668.638856027275324,475958.931267825886607,3,7.933647632598877
12,0,0,12,7.9635921,3273670.023644855245948,475961.592538180761039,3,7.963592052459717
13,0,0,13,7.9766245,3273671.408433685079217,475964.253808536566794,3,7.976624488830566
14,0,0,14,8.0597277,3273672.793222509324551,475966.915078891441226,3,8.059727668762207
15,0,0,15,8.0760698,3273674.178011337295175,475969.576349245384336,3,8.076069831848145
16,0,0,16,8.0606451,3273675.562800167128444,475972.237619600258768,3,8.060645103454590
17,0,0,17,7.8123560,3273676.947588995099068,475974.898889956064522,3,7.812355995178223
18,0,0,18,7.7481942,3273678.332377823069692,475977.560160310938954,3,7.748194217681885
19,0,0,19,7.7481942,3273679.717166649177670,475980.221430663950741,3,7.748194217681885
20,0,0,20,7.6783419,3273681.101955477148294,475982.882701021619141,3,7.678341865539551
21,0,0,21,7.5449076,3273682.486744305118918,475985.543971375562251,3,7.544907569885254
22,0,0,22,7.5927925,3273683.871533134952188,475988.205241730436683,3,7.592792510986328
23,0,0,23,7.6982327,3273685.256321959197521,475990.866512086242437,3,7.698232650756836
24,0,0,24,7.7281547,3273686.641110792756081,475993.527782441116869,3,7.728154659271240
25,0,0,25,7.7281547,3273688.025899617001414,475996.189052795059979,3,7.728154659271240
26,0,0,26,7.7358689,3273689.410688444972038,475998.850323149934411,3,7.735868930816650
27,0,0,27,7.7340536,3273690.795477274805307,476001.511593505740166,3,7.734053611755371
28,0,0,28,7.7085352,3273692.180266099050641,476004.172863860614598,3,7.708535194396973
29,0,0,29,7.4954715,3273693.565054927021265,476006.834134216420352,3,7.495471477508545
30,0,0,30,7.4804325,3273694.949843756854534,476009.495404571294785,3,7.480432510375977
31,0,0,31,7.4804325,3273696.334632584825158,476012.156674925237894,3,7.480432510375977
32,0,0,32,7.5226727,3273697.719421412795782,476014.817945280112326,3,7.522672653198242
33,0,0,33,7.5381117,3273699.104210237041116,476017.479215635918081,3,7.538111686706543
34,0,0,34,7.6502314,3273700.488999066874385,476020.140485990792513,3,7.650231361389160
35,0,0,35,7.7035952,3273701.873787894845009,476022.801756344735622,3,7.703595161437988
36,0,0,36,7.7508807,3273703.258576724678278,476025.463026702404022,3,7.750880718231201
37,0,0,37,7.7508807,3273704.643365552648902,476028.124297055415809,3,7.750880718231201
38,0,0,38,7.7533960,3273706.028154376894236,476030.785567410290241,3,7.753396034240723
39,0,0,39,7.6891794,3273707.412943206727505,476033.446837766095996,3,7.689179420471191
40,0,0,40,7.6678858,3273708.797732034698129,476036.108108120970428,3,7.667885780334473
41,0,0,41,7.6002517,3273710.182520864531398,476038.769378474913538,3,7.600251674652100
42,0,0,42,7.6466284,3273711.567309688776731,476041.430648829787970,3,7.646628379821777
43,0,0,43,7.8092370,3273712.952098516747355,476044.091919185593724,3,7.809237003326416
44,0,0,44,7.8458180,3273714.336887344717979,476046.753189540468156,3,7.845818042755127
45,0,0,45,7.8737397,3273715.721676174551249,476049.414459896273911,3,7.873739719390869
46,0,0,46,7.9109340,3273717.106465002521873,476052.075730252079666,3,7.910933971405029
47,0,0,47,7.9451389,3273718.491253832355142,476054.737000605091453,3,7.945138931274414
48,0,0,48,7.9030380,3273719.876042656600475,476057.398270959965885,3,7.903038024902344
49,0,0,49,7.9030380,3273721.260831484571099,476060.059541315771639,3,7.903038024902344
50,0,0,50,7.7574306,3273722.645620314404368,476062.720811671577394,3,7.757430553436279
51,0,0,51,7.4585762,3273724.030409138649702,476065.382082024589181,3,7.458576202392578
52,0,0,52,7.1569800,3273725.415197966620326,476068.043352379463613,3,7.156980037689209
53,0,0,53,7.1040311,3273726.799986796453595,476070.704622735269368,3,7.104031085968018
54,0,0,54,7.1268735,3273728.184775624424219,476073.365893090143800,3,7.126873493194580
55,0,0,55,7.0783038,3273729.569564452394843,476076.027163445949554,3,7.078303813934326
