OBJECTID,ORIG_FID,Id,X_axis,RASTERVALU,Latitude,Longitude,Distance,Elevation
1,0,0,7679,-15.0191584,3744242.761108398437500,751163.563476562500000,3,-15.019158363342285
2,0,0,7680,-15.0255232,3744240.498107910156250,751161.594116210937500,3,-15.025523185729980
3,0,0,7681,-15.0293484,3744238.235107421875000,751159.624511718750000,3,-15.029348373413086
4,0,0,7682,-15.0302839,3744235.971923828125000,751157.655090332031250,3,-15.030283927917480
5,0,0,7683,-15.0345068,3744233.708923339843750,751155.685729980468750,3,-15.034506797790527
6,0,0,7684,-15.0375233,3744231.445922851562500,751153.716308593750000,3,-15.037523269653320
7,0,0,7685,-15.0407963,3744229.182922363281250,751151.746887207031250,3,-15.040796279907227
8,0,0,7686,-15.0412245,3744226.919921875000000,751149.777282714843750,3,-15.041224479675293
9,0,0,7687,-15.0435495,3744224.656921386718750,751147.807922363281250,3,-15.043549537658691
10,0,0,7688,-15.0458441,3744222.393920898437500,751145.838500976562500,3,-15.045844078063965
11,0,0,7689,-15.0458441,3744220.130676269531250,751143.869079589843750,3,-15.045844078063965
12,0,0,7690,-15.0464239,3744217.867675781250000,751141.899475097656250,3,-15.046423912048340
13,0,0,7691,-15.0481195,3744215.604675292968750,751139.930114746093750,3,-15.048119544982910
14,0,0,7692,-15.0481195,3744213.341674804687500,751137.960693359375000,3,-15.048119544982910
15,0,0,7693,-15.0488977,3744211.078674316406250,751135.991271972656250,3,-15.048897743225098
16,0,0,7694,-15.0487766,3744208.815673828125000,751134.021911621093750,3,-15.048776626586914
17,0,0,7695,-15.0476208,3744206.552673339843750,751132.052490234375000,3,-15.047620773315430
18,0,0,7696,-15.0471573,3744204.289672851562500,751130.082885742187500,3,-15.047157287597656
19,0,0,7697,-15.0455952,3744202.026489257812500,751128.113525390625000,3,-15.045595169067383
20,0,0,7698,-15.0432482,3744199.763488769531250,751126.144104003906250,3,-15.043248176574707
21,0,0,7699,-15.0428610,3744197.500488281250000,751124.174682617187500,3,-15.042860984802246
22,0,0,7700,-15.0407076,3744195.237487792968750,751122.205078125000000,3,-15.040707588195801
23,0,0,7701,-15.0383434,3744192.974487304687500,751120.235717773437500,3,-15.038343429565430
24,0,0,7702,-15.0360041,3744190.711486816406250,751118.266296386718750,3,-15.036004066467285
25,0,0,7703,-15.0353765,3744188.448486328125000,751116.296875000000000,3,-15.035376548767090
26,0,0,7704,-15.0316257,3744186.185302734375000,751114.327514648437500,3,-15.031625747680664
27,0,0,7705,-15.0284710,3744183.922302246093750,751112.357910156250000,3,-15.028470993041992
28,0,0,7706,-15.0270834,3744181.659301757812500,751110.388488769531250,3,-15.027083396911621
29,0,0,7707,-15.0270834,3744179.396301269531250,751108.419128417968750,3,-15.027083396911621
30,0,0,7708,-15.0217791,3744177.133300781250000,751106.449707031250000,3,-15.021779060363770
31,0,0,7709,-15.0198278,3744174.870300292968750,751104.480285644531250,3,-15.019827842712402
32,0,0,7710,-15.0157375,3744172.607116699218750,751102.510681152343750,3,-15.015737533569336
33,0,0,7711,-15.0060129,3744170.344116210937500,751100.541320800781250,3,-15.006012916564941
34,0,0,7712,-15.0014362,3744168.081115722656250,751098.571899414062500,3,-15.001436233520508
35,0,0,7713,-14.9979248,3744165.818115234375000,751096.602478027343750,3,-14.997924804687500
36,0,0,7714,-14.9891787,3744163.555114746093750,751094.632873535156250,3,-14.989178657531738
37,0,0,7715,-14.9844685,3744161.292114257812500,751092.663513183593750,3,-14.984468460083008
38,0,0,7716,-14.9800596,3744159.028930664062500,751090.694091796875000,3,-14.980059623718262
39,0,0,7717,-14.9709682,3744156.765930175781250,751088.724670410156250,3,-14.970968246459961
40,0,0,7718,-14.9669685,3744154.502929687500000,751086.755310058593750,3,-14.966968536376953
41,0,0,7719,-14.9592810,3744152.239929199218750,751084.785888671875000,3,-14.959280967712402
42,0,0,7720,-14.9592810,3744149.976928710937500,751082.816284179687500,3,-14.959280967712402
43,0,0,7721,-14.9497871,3744147.713928222656250,751080.846923828125000,3,-14.949787139892578
44,0,0,7722,-14.9470625,3744145.450927734375000,751078.877502441406250,3,-14.947062492370605
45,0,0,7723,-14.9470625,3744143.187683105468750,751076.908081054687500,3,-14.947062492370605
46,0,0,7724,-14.9455681,3744140.924682617187500,751074.938476562500000,3,-14.945568084716797
47,0,0,7725,-14.9473038,3744138.661682128906250,751072.969116210937500,3,-14.947303771972656
48,0,0,7726,-14.9467516,3744136.398681640625000,751070.999694824218750,3,-14.946751594543457
49,0,0,7727,-14.9512234,3744134.135681152343750,751069.030273437500000,3,-14.951223373413086
50,0,0,7728,-14.9577579,3744131.872680664062500,751067.060913085937500,3,-14.957757949829102
51,0,0,7729,-14.9683743,3744129.609680175781250,751065.091308593750000,3,-14.968374252319336
52,0,0,7730,-14.9710436,3744127.346679687500000,751063.121887207031250,3,-14.971043586730957
53,0,0,7731,-14.9824772,3744125.083496093750000,751061.152526855468750,3,-14.982477188110352
54,0,0,7732,-15.0041876,3744122.820495605468750,751059.183105468750000,3,-15.004187583923340
55,0,0,7733,-15.0041876,3744120.557495117187500,751057.213684082031250,3,-15.004187583923340
56,0,0,7734,-15.0244007,3744118.294494628906250,751055.244079589843750,3,-15.024400711059570
57,0,0,7735,-15.0461454,3744116.031494140625000,751053.274719238281250,3,-15.046145439147949
58,0,0,7736,-15.0628328,3744113.768493652343750,751051.305297851562500,3,-15.062832832336426
59,0,0,7737,-15.0688114,3744111.505493164062500,751049.335876464843750,3,-15.068811416625977
60,0,0,7738,-15.0857992,3744109.242309570312500,751047.366271972656250,3,-15.085799217224121
61,0,0,7739,-15.1090212,3744106.979309082031250,751045.396911621093750,3,-15.109021186828613
62,0,0,7740,-15.0981436,3744104.716308593750000,751043.427490234375000,3,-15.098143577575684
63,0,0,7741,-15.1152802,3744102.453308105468750,751041.458129882812500,3,-15.115280151367188
64,0,0,7742,-15.1447172,3744100.190307617187500,751039.488708496093750,3,-15.144717216491699
65,0,0,7743,-15.1505823,3744097.927307128906250,751037.519287109375000,3,-15.150582313537598
66,0,0,7744,-15.1674786,3744095.664123535156250,751035.549682617187500,3,-15.167478561401367
67,0,0,7745,-15.1892920,3744093.401123046875000,751033.580322265625000,3,-15.189291954040527
68,0,0,7746,-15.2049150,3744091.138122558593750,751031.610900878906250,3,-15.204915046691895
69,0,0,7747,-15.2096996,3744088.875122070312500,751029.641479492187500,3,-15.209699630737305
70,0,0,7748,-15.2283373,3744086.612121582031250,751027.671875000000000,3,-15.228337287902832
71,0,0,7749,-15.2418509,3744084.349121093750000,751025.702514648437500,3,-15.241850852966309
72,0,0,7750,-15.2449226,3744082.086120605468750,751023.733093261718750,3,-15.244922637939453
73,0,0,7751,-15.2571211,3744079.822875976562500,751021.763671875000000,3,-15.257121086120605
74,0,0,7752,-15.2699575,3744077.559875488281250,751019.794311523437500,3,-15.269957542419434
75,0,0,7753,-15.2805099,3744075.296875000000000,751017.824707031250000,3,-15.280509948730469
76,0,0,7754,-15.2805099,3744073.033874511718750,751015.855285644531250,3,-15.280509948730469
77,0,0,7755,-15.2879887,3744070.770874023437500,751013.885925292968750,3,-15.287988662719727
78,0,0,7756,-15.2873898,3744068.507873535156250,751011.916503906250000,3,-15.287389755249023
79,0,0,7757,-15.2873898,3744066.244873046875000,751009.947082519531250,3,-15.287389755249023
80,0,0,7758,-15.2934561,3744063.981689453125000,751007.977478027343750,3,-15.293456077575684
81,0,0,7759,-15.2993021,3744061.718688964843750,751006.008117675781250,3,-15.299302101135254
82,0,0,7760,-15.2985439,3744059.455688476562500,751004.038696289062500,3,-15.298543930053711
83,0,0,7761,-15.3028622,3744057.192687988281250,751002.069274902343750,3,-15.302862167358398
84,0,0,7762,-15.3075256,3744054.929687500000000,751000.099914550781250,3,-15.307525634765625
85,0,0,7763,-15.3104725,3744052.666687011718750,750998.130310058593750,3,-15.310472488403320
86,0,0,7764,-15.3104725,3744050.403686523437500,750996.160888671875000,3,-15.310472488403320
87,0,0,7765,-15.3143711,3744048.140686035156250,750994.191528320312500,3,-15.314371109008789
88,0,0,7766,-15.3189001,3744045.877502441406250,750992.222106933593750,3,-15.318900108337402
89,0,0,7767,-15.3189001,3744043.614501953125000,750990.252685546875000,3,-15.318900108337402
90,0,0,7768,-15.3244200,3744041.351501464843750,750988.283081054687500,3,-15.324419975280762
91,0,0,7769,-15.3298912,3744039.088500976562500,750986.313720703125000,3,-15.329891204833984
92,0,0,7770,-15.3367882,3744036.825500488281250,750984.344299316406250,3,-15.336788177490234
93,0,0,7771,-15.3383017,3744034.562500000000000,750982.374877929687500,3,-15.338301658630371
94,0,0,7772,-15.3444338,3744032.299316406250000,750980.405273437500000,3,-15.344433784484863
95,0,0,7773,-15.3483248,3744030.036315917968750,750978.435913085937500,3,-15.348324775695801
96,0,0,7774,-15.3504286,3744027.773315429687500,750976.466491699218750,3,-15.350428581237793
97,0,0,7775,-15.3572216,3744025.510314941406250,750974.497070312500000,3,-15.357221603393555
98,0,0,7776,-15.3665676,3744023.247314453125000,750972.527709960937500,3,-15.366567611694336
99,0,0,7777,-15.3665676,3744020.984313964843750,750970.558288574218750,3,-15.366567611694336
100,0,0,7778,-15.3762369,3744018.721130371093750,750968.588684082031250,3,-15.376236915588379
101,0,0,7779,-15.3861275,3744016.458129882812500,750966.619323730468750,3,-15.386127471923828
102,0,0,7780,-15.3935070,3744014.195129394531250,750964.649902343750000,3,-15.393507003784180
103,0,0,7781,-15.3962069,3744011.932128906250000,750962.680480957031250,3,-15.396206855773926
104,0,0,7782,-15.4037237,3744009.669128417968750,750960.710876464843750,3,-15.403723716735840
105,0,0,7783,-15.4142199,3744007.406127929687500,750958.741516113281250,3,-15.414219856262207
106,0,0,7784,-15.4201546,3744005.143127441406250,750956.772094726562500,3,-15.420154571533203
107,0,0,7785,-15.4282532,3744002.879882812500000,750954.802673339843750,3,-15.428253173828125
108,0,0,7786,-15.4395933,3744000.616882324218750,750952.833312988281250,3,-15.439593315124512
109,0,0,7787,-15.4510851,3743998.353881835937500,750950.863708496093750,3,-15.451085090637207
110,0,0,7788,-15.4510851,3743996.090881347656250,750948.894287109375000,3,-15.451085090637207
111,0,0,7789,-15.4625530,3743993.827880859375000,750946.924926757812500,3,-15.462553024291992
112,0,0,7790,-15.4625530,3743991.564880371093750,750944.955505371093750,3,-15.462553024291992
113,0,0,7791,-15.4660625,3743989.301879882812500,750942.986083984375000,3,-15.466062545776367
114,0,0,7792,-15.4771929,3743987.038879394531250,750941.016479492187500,3,-15.477192878723145
115,0,0,7793,-15.4844666,3743984.775695800781250,750939.047119140625000,3,-15.484466552734375
116,0,0,7794,-15.4904728,3743982.512695312500000,750937.077697753906250,3,-15.490472793579102
117,0,0,7795,-15.4972391,3743980.249694824218750,750935.108276367187500,3,-15.497239112854004
118,0,0,7796,-15.5059013,3743977.986694335937500,750933.138671875000000,3,-15.505901336669922
119,0,0,7797,-15.5137367,3743975.723693847656250,750931.169311523437500,3,-15.513736724853516
120,0,0,7798,-15.5137367,3743973.460693359375000,750929.199890136718750,3,-15.513736724853516
121,0,0,7799,-15.5209436,3743971.197692871093750,750927.230529785156250,3,-15.520943641662598
122,0,0,7800,-15.5277634,3743968.934509277343750,750925.261108398437500,3,-15.527763366699219
123,0,0,7801,-15.5277634,3743966.671508789062500,750923.291687011718750,3,-15.527763366699219
124,0,0,7802,-15.5343609,3743964.408508300781250,750921.322082519531250,3,-15.534360885620117
125,0,0,7803,-15.5377750,3743962.145507812500000,750919.352722167968750,3,-15.537775039672852
126,0,0,7804,-15.5433359,3743959.882507324218750,750917.383300781250000,3,-15.543335914611816
127,0,0,7805,-15.5505400,3743957.619506835937500,750915.413879394531250,3,-15.550539970397949
