OBJECTID,ORIG_FID,Id,X_axis,RASTERVALU,Latitude,Longitude,Distance,Elevation
9972,0,0,819,9.585021,3734587.832,3734587.832,0,9.585021019
9973,0,0,820,9.6236019,3734584.846,3734584.846,3,9.623601913
9974,0,0,821,9.7148285,3734581.86,3734581.86,6,9.714828491
9975,0,0,822,9.7947512,3734578.874,3734578.874,9,9.794751167
9976,0,0,823,9.7668648,3734575.888,3734575.888,12,9.766864777
9977,0,0,824,9.6108408,3734572.903,3734572.903,15,9.610840797
9978,0,0,825,9.6118746,3734569.917,3734569.917,18,9.61187458
9979,0,0,826,9.6301022,3734566.93,3734566.93,21,9.630102158
9980,0,0,827,9.6582623,3734563.945,3734563.945,24,9.658262253
9981,0,0,828,9.7158384,3734560.959,3734560.959,27,9.715838432
9982,0,0,829,9.7798414,3734557.973,3734557.973,30,9.779841423
9983,0,0,830,9.6732178,3734554.987,3734554.987,33,9.673217773
9984,0,0,831,9.6961813,3734552.001,3734552.001,36,9.696181297
9985,0,0,832,9.6430006,3734549.015,3734549.015,39,9.643000603
9986,0,0,833,9.6430006,3734546.029,3734546.029,42,9.643000603
9987,0,0,834,9.6672878,3734543.043,3734543.043,45,9.667287827
9988,0,0,835,9.5912361,3734540.057,3734540.057,48,9.591236115
9989,0,0,836,9.6517525,3734537.071,3734537.071,51,9.651752472
9990,0,0,837,9.6274614,3734534.085,3734534.085,54,9.627461433
9991,0,0,838,9.5889835,3734531.099,3734531.099,57,9.588983536
9992,0,0,839,9.573514,3734528.113,3734528.113,60,9.573513985
9993,0,0,840,9.5320044,3734525.127,3734525.127,63,9.532004356
9994,0,0,841,9.4939909,3734522.141,3734522.141,66,9.493990898
9995,0,0,842,9.6150913,3734519.155,3734519.155,69,9.615091324
9996,0,0,843,9.3991756,3734516.169,3734516.169,72,9.399175644
9997,0,0,844,9.4558067,3734513.183,3734513.183,75,9.455806732
9998,0,0,845,9.4399328,3734510.197,3734510.197,78,9.439932823
9999,0,0,846,9.4596367,3734507.211,3734507.211,81,9.459636688
10000,0,0,847,9.4860258,3734504.226,3734504.226,84,9.48602581
10001,0,0,848,9.483675,3734501.24,3734501.24,87,9.483675003
10002,0,0,849,9.483675,3734498.253,3734498.253,90,9.483675003
10003,0,0,850,9.7050514,3734495.268,3734495.268,93,9.705051422
10004,0,0,851,9.7050514,3734492.282,3734492.282,96,9.705051422
10005,0,0,852,9.6416664,3734489.296,3734489.296,99,9.641666412
10006,0,0,853,9.3441763,3734486.31,3734486.31,102,9.344176292
10007,0,0,854,9.496419,3734483.324,3734483.324,105,9.496418953
10008,0,0,855,9.3977966,3734480.338,3734480.338,108,9.397796631
10009,0,0,856,9.3405247,3734477.352,3734477.352,111,9.340524673
10010,0,0,857,9.3500366,3734474.366,3734474.366,114,9.350036621
10011,0,0,858,9.3757935,3734471.38,3734471.38,117,9.375793457
10012,0,0,859,9.4011841,3734468.394,3734468.394,120,9.401184082
10013,0,0,860,9.425354,3734465.408,3734465.408,123,9.425354004
10014,0,0,861,9.4519043,3734462.422,3734462.422,126,9.451904297
10015,0,0,862,9.4901733,3734459.436,3734459.436,129,9.49017334
10016,0,0,863,9.5734253,3734456.45,3734456.45,132,9.573425293
10017,0,0,864,9.5231323,3734453.464,3734453.464,135,9.523132324
10018,0,0,865,9.6009521,3734450.478,3734450.478,138,9.600952148
10019,0,0,866,9.5943003,3734447.492,3734447.492,141,9.59430027
10020,0,0,867,9.5943003,3734444.506,3734444.506,144,9.59430027
10021,0,0,868,9.602932,3734441.52,3734441.52,147,9.602931976
10022,0,0,869,9.4843683,3734438.534,3734438.534,150,9.484368324
10023,0,0,870,9.3255215,3734435.548,3734435.548,153,9.325521469
10024,0,0,871,9.325429,3734432.563,3734432.563,156,9.325428963
10025,0,0,872,9.3642282,3734429.576,3734429.576,159,9.364228249
10026,0,0,873,9.2712889,3734426.591,3734426.591,162,9.271288872
10027,0,0,874,9.2878475,3734423.604,3734423.604,165,9.287847519
10028,0,0,875,9.3370132,3734420.619,3734420.619,168,9.337013245
10029,0,0,876,9.3642788,3734417.633,3734417.633,171,9.364278793
10030,0,0,877,9.5114746,3734414.647,3734414.647,174,9.511474609
10031,0,0,878,9.5181122,3734411.661,3734411.661,177,9.518112183
10032,0,0,879,9.5181122,3734408.675,3734408.675,180,9.518112183
10033,0,0,880,9.5114899,3734405.689,3734405.689,183,9.511489868
10034,0,0,881,9.4242973,3734402.703,3734402.703,186,9.424297333
10035,0,0,882,9.2988892,3734399.717,3734399.717,189,9.29888916
10036,0,0,883,9.2988892,3734396.731,3734396.731,192,9.29888916
10037,0,0,884,9.2799683,3734393.745,3734393.745,195,9.279968262
10038,0,0,885,9.2362671,3734390.759,3734390.759,198,9.23626709
10039,0,0,886,9.1901245,3734387.773,3734387.773,201,9.190124512
10040,0,0,887,9.1356201,3734384.787,3734384.787,204,9.135620117
10041,0,0,888,9.1422596,3734381.801,3734381.801,207,9.142259598
10042,0,0,889,9.1115112,3734378.815,3734378.815,210,9.11151123
10043,0,0,890,9.1018066,3734375.829,3734375.829,213,9.101806641
10044,0,0,891,9.0854492,3734372.843,3734372.843,216,9.085449219
10045,0,0,892,9.0654907,3734369.857,3734369.857,219,9.065490723
10046,0,0,893,9.0446777,3734366.871,3734366.871,222,9.044677734
10047,0,0,894,9.0446777,3734363.885,3734363.885,225,9.044677734
10048,0,0,895,9.0282593,3734360.899,3734360.899,228,9.028259277
10049,0,0,896,9.0304565,3734357.914,3734357.914,231,9.030456543
10050,0,0,897,9.0828857,3734354.927,3734354.927,234,9.082885742
10051,0,0,898,9.0762501,3734351.942,3734351.942,237,9.076250076
10052,0,0,899,8.9862871,3734348.956,3734348.956,240,8.986287117
10053,0,0,900,8.9862871,3734345.97,3734345.97,243,8.986287117
