FID,ORIG_FID,Id,X_axis,RASTERVALU,Latitude,Longitude,Distance,Elevation
0,0,0,1,6.6271,3103764.935,528799.8703,0,6.6271
1,0,0,2,6.6992102,3103766.592,528802.3716,3,6.6992102
2,0,0,3,6.76262,3103768.248,528804.873,6,6.76262
3,0,0,4,6.5840702,3103769.904,528807.3744,9,6.5840702
4,0,0,5,6.5840702,3103771.56,528809.8758,12,6.5840702
5,0,0,6,6.5372,3103773.217,528812.3771,15,6.5372
6,0,0,7,6.49192,3103774.873,528814.8785,18,6.49192
7,0,0,8,6.53019,3103776.529,528817.3799,21,6.53019
8,0,0,9,6.5687599,3103778.185,528819.8812,24,6.5687599
9,0,0,10,6.5706801,3103779.841,528822.3826,27,6.5706801
10,0,0,11,6.5873299,3103781.498,528824.884,30,6.5873299
11,0,0,12,6.5689902,3103783.154,528827.3854,33,6.5689902
12,0,0,13,6.5453901,3103784.81,528829.8867,36,6.5453901
13,0,0,14,6.57054,3103786.466,528832.3881,39,6.57054
14,0,0,15,6.6377101,3103788.123,528834.8895,42,6.6377101
15,0,0,16,6.7056298,3103789.779,528837.3909,45,6.7056298
16,0,0,17,6.71771,3103791.435,528839.8922,48,6.71771
17,0,0,18,6.5894599,3103793.091,528842.3936,51,6.5894599
18,0,0,19,6.7765098,3103794.748,528844.895,54,6.7765098
19,0,0,20,7.0497499,3103796.404,528847.3964,57,7.0497499
20,0,0,21,6.95539,3103798.06,528849.8977,60,6.95539
21,0,0,22,6.5170898,3103799.716,528852.3991,63,6.5170898
22,0,0,23,6.5170898,3103801.373,528854.9005,66,6.5170898
23,0,0,24,6.4646802,3103803.029,528857.4019,69,6.4646802
24,0,0,25,6.4741201,3103804.685,528859.9032,72,6.4741201
25,0,0,26,6.4330602,3103806.341,528862.4046,75,6.4330602
26,0,0,27,6.4330602,3103807.998,528864.906,78,6.4330602
27,0,0,28,6.4376001,3103809.654,528867.4073,81,6.4376001
28,0,0,29,6.44028,3103811.31,528869.9087,84,6.44028
29,0,0,30,6.4733,3103812.966,528872.4101,87,6.4733
30,0,0,31,6.4629598,3103814.623,528874.9115,90,6.4629598
31,0,0,32,6.4742999,3103816.279,528877.4128,93,6.4742999
32,0,0,33,6.4627099,3103817.935,528879.9142,96,6.4627099
33,0,0,34,6.4651999,3103819.591,528882.4156,99,6.4651999
34,0,0,35,6.4738002,3103821.247,528884.917,102,6.4738002
35,0,0,36,6.4742899,3103822.904,528887.4183,105,6.4742899
36,0,0,37,6.5048399,3103824.56,528889.9197,108,6.5048399
37,0,0,38,6.51683,3103826.216,528892.4211,111,6.51683
38,0,0,39,6.5328798,3103827.872,528894.9225,114,6.5328798
39,0,0,40,6.4983301,3103829.529,528897.4238,117,6.4983301
40,0,0,41,6.4869699,3103831.185,528899.9252,120,6.4869699
41,0,0,42,6.4935098,3103832.841,528902.4266,123,6.4935098
42,0,0,43,6.4698701,3103834.497,528904.928,126,6.4698701
43,0,0,44,6.4826999,3103836.154,528907.4293,129,6.4826999
44,0,0,45,6.4826999,3103837.81,528909.9307,132,6.4826999
45,0,0,46,6.5033002,3103839.466,528912.4321,135,6.5033002
46,0,0,47,6.3807802,3103841.122,528914.9335,138,6.3807802
47,0,0,48,6.3439102,3103842.779,528917.4348,141,6.3439102
48,0,0,49,6.2187901,3103844.435,528919.9362,144,6.2187901
49,0,0,50,6.33606,3103846.091,528922.4376,147,6.33606
50,0,0,51,6.2589998,3103847.747,528924.9389,150,6.2589998
51,0,0,52,6.3112502,3103849.404,528927.4403,153,6.3112502
52,0,0,53,6.3871498,3103851.06,528929.9417,156,6.3871498
53,0,0,54,6.3871498,3103852.716,528932.4431,159,6.3871498
54,0,0,55,6.44765,3103854.372,528934.9444,162,6.44765
55,0,0,56,6.5040002,3103856.029,528937.4458,165,6.5040002
56,0,0,57,6.42449,3103857.685,528939.9472,168,6.42449
57,0,0,58,6.42449,3103859.341,528942.4486,171,6.42449
58,0,0,59,6.4794202,3103860.997,528944.9499,174,6.4794202
59,0,0,60,6.4753399,3103862.653,528947.4513,177,6.4753399
60,0,0,61,6.45506,3103864.31,528949.9527,180,6.45506
61,0,0,62,6.4482999,3103865.966,528952.4541,183,6.4482999
62,0,0,63,6.4309301,3103867.622,528954.9554,186,6.4309301
63,0,0,64,6.4885702,3103869.278,528957.4568,189,6.4885702
64,0,0,65,6.5473299,3103870.935,528959.9582,192,6.5473299
65,0,0,66,6.54533,3103872.591,528962.4596,195,6.54533
66,0,0,67,6.57023,3103874.247,528964.9609,198,6.57023
67,0,0,68,6.5647202,3103875.903,528967.4623,201,6.5647202
68,0,0,69,6.5865598,3103877.56,528969.9637,204,6.5865598
69,0,0,70,6.55793,3103879.216,528972.4651,207,6.55793
70,0,0,71,6.5752101,3103880.872,528974.9664,210,6.5752101
71,0,0,72,6.5752101,3103882.528,528977.4678,213,6.5752101
72,0,0,73,6.5860701,3103884.185,528979.9692,216,6.5860701
73,0,0,74,6.5826802,3103885.841,528982.4705,219,6.5826802
74,0,0,75,6.6329298,3103887.497,528984.9719,222,6.6329298
75,0,0,76,6.6329298,3103889.153,528987.4733,225,6.6329298
76,0,0,77,6.5823202,3103890.81,528989.9747,228,6.5823202
77,0,0,78,6.59022,3103892.466,528992.476,231,6.59022
78,0,0,79,6.5620899,3103894.122,528994.9774,234,6.5620899
79,0,0,80,6.5383301,3103895.778,528997.4788,237,6.5383301
80,0,0,81,6.5383301,3103897.434,528999.9802,240,6.5383301
81,0,0,82,6.5743999,3103899.091,529002.4815,243,6.5743999
82,0,0,83,6.5823498,3103900.747,529004.9829,246,6.5823498
83,0,0,84,6.64361,3103902.403,529007.4843,249,6.64361
84,0,0,85,6.64361,3103904.059,529009.9857,252,6.64361
85,0,0,86,6.64078,3103905.716,529012.487,255,6.64078
86,0,0,87,6.6437302,3103907.372,529014.9884,258,6.6437302
87,0,0,88,6.6341,3103909.028,529017.4898,261,6.6341
88,0,0,89,6.6341,3103910.684,529019.9912,264,6.6341
89,0,0,90,6.69309,3103912.341,529022.4925,267,6.69309
90,0,0,91,6.7351198,3103913.997,529024.9939,270,6.7351198
91,0,0,92,6.7980399,3103915.653,529027.4953,273,6.7980399
92,0,0,93,6.81988,3103917.309,529029.9967,276,6.81988
93,0,0,94,6.8726401,3103918.966,529032.498,279,6.8726401
94,0,0,95,6.9401898,3103920.622,529034.9994,282,6.9401898
95,0,0,96,7.0239902,3103922.278,529037.5008,285,7.0239902
96,0,0,97,6.9750299,3103923.934,529040.0021,288,6.9750299
97,0,0,98,7.0583301,3103925.591,529042.5035,291,7.0583301
98,0,0,99,7.0256901,3103927.247,529045.0049,294,7.0256901
99,0,0,100,7.0464802,3103928.903,529047.5063,297,7.0464802
100,0,0,101,7.0830898,3103930.559,529050.0076,300,7.0830898
101,0,0,102,7.2218099,3103932.216,529052.509,303,7.2218099
102,0,0,103,7.2218099,3103933.872,529055.0104,306,7.2218099
103,0,0,104,7.3426399,3103935.528,529057.5118,309,7.3426399
104,0,0,105,7.5042601,3103937.184,529060.0131,312,7.5042601
105,0,0,106,7.5067501,3103938.84,529062.5145,315,7.5067501
106,0,0,107,7.5067501,3103940.497,529065.0159,318,7.5067501
107,0,0,108,7.3032799,3103942.153,529067.5173,321,7.3032799
108,0,0,109,7.3096299,3103943.809,529070.0186,324,7.3096299
109,0,0,110,7.0720401,3103945.465,529072.52,327,7.0720401
110,0,0,111,7.3393202,3103947.122,529075.0214,330,7.3393202
111,0,0,112,7.0541801,3103948.778,529077.5228,333,7.0541801
112,0,0,113,7.04671,3103950.434,529080.0241,336,7.04671
113,0,0,114,6.9430599,3103952.09,529082.5255,339,6.9430599
114,0,0,115,6.9212799,3103953.747,529085.0269,342,6.9212799
115,0,0,116,6.8944302,3103955.403,529087.5282,345,6.8944302
116,0,0,117,6.8727298,3103957.059,529090.0296,348,6.8727298
117,0,0,118,6.7853098,3103958.715,529092.531,351,6.7853098
118,0,0,119,6.7774701,3103960.372,529095.0324,354,6.7774701
119,0,0,120,6.7774701,3103962.028,529097.5337,357,6.7774701
120,0,0,121,6.7246099,3103963.684,529100.0351,360,6.7246099
121,0,0,122,6.6510601,3103965.34,529102.5365,363,6.6510601
122,0,0,123,6.6205001,3103966.997,529105.0379,366,6.6205001
123,0,0,124,6.51788,3103968.653,529107.5392,369,6.51788
