OBJECTID,ORIG_FID,Id,X_axis,RASTERVALU,Latitude,Longitude,Distance,Elevation
1,0,0,1,5.6388545,524968.844299316406250,3102435.126281738281250,3,5.638854503631592
2,0,0,2,5.6526566,524971.781921386718750,3102435.734680175781250,3,5.652656555175781
3,0,0,3,5.6484289,524974.719726562500000,3102436.343078613281250,3,5.648428916931152
4,0,0,4,5.6353807,524977.657287597656250,3102436.951721191406250,3,5.635380744934082
5,0,0,5,5.6508861,524980.594909667968750,3102437.560302734375000,3,5.650886058807373
6,0,0,6,5.6627998,524983.532470703125000,3102438.168701171875000,3,5.662799835205078
7,0,0,7,5.6627998,524986.470275878906250,3102438.777282714843750,3,5.662799835205078
8,0,0,8,5.6597691,524989.407897949218750,3102439.385681152343750,3,5.659769058227539
9,0,0,9,5.6462750,524992.345520019531250,3102439.994323730468750,3,5.646275043487549
10,0,0,10,5.6213384,524995.283081054687500,3102440.602722167968750,3,5.621338367462158
11,0,0,11,5.6358104,524998.220703125000000,3102441.211303710937500,3,5.635810375213623
12,0,0,12,5.6544013,525001.158325195312500,3102441.819885253906250,3,5.654401302337646
13,0,0,13,5.6593208,525004.095886230468750,3102442.428283691406250,3,5.659320831298828
14,0,0,14,5.7101598,525007.033691406250000,3102443.036682128906250,3,5.710159778594971
15,0,0,15,5.7532077,525009.971313476562500,3102443.645324707031250,3,5.753207683563232
16,0,0,16,5.7731838,525012.908874511718750,3102444.253906250000000,3,5.773183822631836
17,0,0,17,5.7968349,525015.846496582031250,3102444.862304687500000,3,5.796834945678711
18,0,0,18,5.7968349,525018.784301757812500,3102445.470886230468750,3,5.796834945678711
19,0,0,19,5.9226213,525021.721923828125000,3102446.079284667968750,3,5.922621250152588
20,0,0,20,5.9475012,525024.659484863281250,3102446.687927246093750,3,5.947501182556152
21,0,0,21,5.9655328,525027.597106933593750,3102447.296325683593750,3,5.965532779693604
22,0,0,22,5.9552493,525030.534729003906250,3102447.904907226562500,3,5.955249309539795
23,0,0,23,5.9345250,525033.472473144531250,3102448.513305664062500,3,5.934525012969971
24,0,0,24,5.4312701,525036.410095214843750,3102449.121887207031250,3,5.431270122528076
