OBJECTID,ORIG_FID,Id,X_axis,RASTERVALU,Latitude,Longitude,Distance,Elevation
9475,0,0,1,13.0958481,3765380,748113.7347,0,13.09584808
9476,0,0,2,13.0668468,3765377.169,748114.7299,3,13.06684685
9477,0,0,3,13.2048645,3765374.339,748115.7253,6,13.2048645
9478,0,0,4,13.176075,3765371.509,748116.7203,9,13.17607498
9479,0,0,5,13.1781912,3765368.679,748117.7157,12,13.17819118
9480,0,0,6,13.2533741,3765365.849,748118.7109,15,13.2533741
9481,0,0,7,13.3223629,3765363.019,748119.7061,18,13.3223629
9482,0,0,8,13.2640944,3765360.189,748120.7013,21,13.26409435
9483,0,0,9,13.3825865,3765357.359,748121.6965,24,13.38258648
9484,0,0,10,13.3462086,3765354.529,748122.6917,27,13.34620857
9485,0,0,11,13.3194132,3765351.698,748123.6869,30,13.31941319
9486,0,0,12,13.4283428,3765348.868,748124.6821,33,13.42834282
9487,0,0,13,13.3147163,3765346.038,748125.6773,36,13.31471634
9488,0,0,14,13.405179,3765343.208,748126.6725,39,13.40517902
9489,0,0,15,13.405179,3765340.378,748127.6677,42,13.40517902
9490,0,0,16,13.2723732,3765337.548,748128.6629,45,13.2723732
9491,0,0,17,13.3772306,3765334.718,748129.6581,48,13.37723064
9492,0,0,18,13.4062796,3765331.888,748130.6535,51,13.40627956
9493,0,0,19,13.4405184,3765329.057,748131.6487,54,13.44051838
9494,0,0,20,13.3900881,3765326.227,748132.6439,57,13.39008808
9495,0,0,21,13.4175081,3765323.397,748133.6391,60,13.41750813
9496,0,0,22,13.6290455,3765320.567,748134.6343,63,13.62904549
9497,0,0,23,13.6290455,3765317.737,748135.6295,66,13.62904549
9498,0,0,24,13.789753,3765314.907,748136.6247,69,13.78975296
9499,0,0,25,13.8101482,3765312.077,748137.6199,72,13.81014824
9500,0,0,26,13.9547329,3765309.247,748138.6151,75,13.95473289
9501,0,0,27,14.0387173,3765306.417,748139.6103,78,14.03871727
9502,0,0,28,14.1249151,3765303.586,748140.6055,81,14.12491512
9503,0,0,29,14.1179848,3765300.756,748141.6007,84,14.11798477
9504,0,0,30,14.0843773,3765297.926,748142.5959,87,14.08437729
9505,0,0,31,14.1319885,3765295.096,748143.5911,90,14.13198853
9506,0,0,32,14.1188021,3765292.266,748144.5865,93,14.11880207
9507,0,0,33,14.1485987,3765289.436,748145.5817,96,14.14859867
9508,0,0,34,14.1540251,3765286.606,748146.5769,99,14.15402508
9509,0,0,35,14.1108112,3765283.776,748147.5721,102,14.11081123
9510,0,0,36,14.1108112,3765280.945,748148.5673,105,14.11081123
9511,0,0,37,14.1377754,3765278.115,748149.5625,108,14.13777542
9512,0,0,38,14.2041988,3765275.285,748150.5577,111,14.20419884
